transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude
2025-03-27 09:00:00,bus,ST9,Station_81,MANHATTAN,omny,Student,2873,16,40.740621551719926,-73.98137603511762
2025-03-25 09:00:00,tram,ST21,Station_65,MANHATTAN,omny,Full Fare,2710,35,40.88896799961604,-73.92047454170135
2025-03-2 09:00:00,tram,ST96,Station_39,MANHATTAN,omny,Student,3172,150,40.5500501028567,-73.75981135409566
2025-03-25 09:00:00,subway,ST34,Station_41,MANHATTAN,omny,Full Fare,4777,5,40.76605847769536,-74.03706948799926
2025-03-17 09:00:00,tram,ST49,Station_76,MANHATTAN,metrocard,Senior,2256,182,40.71972390859204,-73.97520639186943
2025-03-26 09:00:00,tram,ST32,Station_96,MANHATTAN,metrocard,Student,468,82,40.812868505236494,-74.05024686750346
2025-03-14 09:00:00,bus,ST33,Station_14,MANHATTAN,metrocard,Full Fare,4954,131,40.72359225363991,-73.89956484789512
2025-03-6 09:00:00,subway,ST97,Station_49,MANHATTAN,metrocard,Senior,2340,196,40.78738157892902,-73.75494381154033
2025-03-13 09:00:00,bus,ST99,Station_19,MANHATTAN,metrocard,Senior,1581,88,40.562909283271885,-73.97608485631636
2025-03-23 09:00:00,bus,ST22,Station_57,MANHATTAN,omny,Senior,3377,183,40.87411883941813,-73.75972789575806
2025-03-23 09:00:00,tram,ST51,Station_82,MANHATTAN,metrocard,Full Fare,212,11,40.61505309161747,-73.97728936019114
2025-03-27 09:00:00,subway,ST6,Station_97,MANHATTAN,omny,Full Fare,987,58,40.64234190370368,-74.06643218567142
2025-03-9 09:00:00,tram,ST86,Station_69,MANHATTAN,omny,Student,4161,46,40.652576416565324,-73.70718018519362
2025-03-20 09:00:00,bus,ST7,Station_79,MANHATTAN,omny,Student,3574,127,40.80037591934533,-74.05945084097873
2025-03-24 09:00:00,bus,ST63,Station_74,MANHATTAN,omny,Full Fare,1515,61,40.707480397752235,-74.02825412719511
2025-03-6 09:00:00,bus,ST69,Station_28,MANHATTAN,metrocard,Full Fare,2088,81,40.78182177121098,-73.93090854524243
2025-03-27 09:00:00,subway,ST76,Station_71,MANHATTAN,omny,Senior,4973,97,40.693215879023555,-73.99258649757296
2025-03-24 09:00:00,bus,ST38,Station_22,MANHATTAN,metrocard,Senior,3466,156,40.87020888314075,-74.07266635806175
2025-03-9 09:00:00,bus,ST20,Station_19,MANHATTAN,metrocard,Senior,2514,65,40.60696081114302,-74.0939557263142
2025-03-3 09:00:00,bus,ST79,Station_27,MANHATTAN,metrocard,Full Fare,4676,95,40.74400296683179,-73.97483704231453
2025-03-4 09:00:00,tram,ST2,Station_29,MANHATTAN,metrocard,Full Fare,2742,153,40.679633898004376,-73.85509673969526
2025-03-27 09:00:00,bus,ST51,Station_48,MANHATTAN,omny,Senior,1371,21,40.750081907812174,-73.95057807958092
2025-03-13 09:00:00,subway,ST45,Station_68,MANHATTAN,omny,Full Fare,182,128,40.58819347738932,-73.80970963585436
2025-03-14 09:00:00,bus,ST32,Station_32,MANHATTAN,metrocard,Student,2804,73,40.50332797689088,-73.92656688294696
2025-03-3 09:00:00,tram,ST85,Station_25,MANHATTAN,metrocard,Senior,3442,131,40.67376132760264,-73.81062087286
2025-03-26 09:00:00,tram,ST92,Station_17,MANHATTAN,omny,Full Fare,1164,169,40.780347054344574,-74.01839013370457
2025-03-7 09:00:00,subway,ST23,Station_96,MANHATTAN,metrocard,Senior,2884,109,40.60832253121479,-74.00097609188805
2025-03-8 09:00:00,tram,ST61,Station_50,MANHATTAN,omny,Student,1437,160,40.76914866743923,-74.0675403285855
2025-03-16 09:00:00,tram,ST10,Station_82,MANHATTAN,metrocard,Senior,4470,163,40.8730842032531,-73.88229841355452
2025-03-14 09:00:00,tram,ST74,Station_65,MANHATTAN,omny,Senior,3921,7,40.52738348773343,-73.95155482462795
2025-03-9 09:00:00,subway,ST6,Station_89,MANHATTAN,omny,Full Fare,4127,27,40.86610287396713,-73.7560704658435
2025-03-18 09:00:00,tram,ST85,Station_2,MANHATTAN,omny,Student,4558,122,40.782184332113395,-73.92895946651866
2025-03-4 09:00:00,bus,ST37,Station_79,MANHATTAN,metrocard,Student,162,149,40.814039085638285,-73.86046183996822
2025-03-13 09:00:00,bus,ST7,Station_61,MANHATTAN,omny,Student,2235,67,40.58401173980651,-73.98758476744759
2025-03-3 09:00:00,bus,ST38,Station_1,MANHATTAN,metrocard,Student,1024,132,40.81460895295634,-73.72298747699196
2025-03-18 09:00:00,tram,ST67,Station_47,MANHATTAN,metrocard,Senior,902,195,40.61567497851838,-73.97607724987101
2025-03-27 09:00:00,bus,ST23,Station_25,MANHATTAN,omny,Full Fare,3490,121,40.83142223916243,-73.78428286067212
2025-03-23 09:00:00,bus,ST32,Station_55,MANHATTAN,metrocard,Full Fare,1671,109,40.64176997951722,-73.89774633863121
2025-03-7 09:00:00,subway,ST85,Station_61,MANHATTAN,omny,Student,2256,34,40.63955603001673,-73.89136024159545
2025-03-5 09:00:00,bus,ST87,Station_81,MANHATTAN,metrocard,Senior,3042,28,40.68367569349302,-73.93556255644782
2025-03-14 09:00:00,tram,ST23,Station_45,MANHATTAN,omny,Senior,3787,84,40.787495847141415,-73.80703958037665
2025-03-18 09:00:00,bus,ST22,Station_33,MANHATTAN,metrocard,Full Fare,4833,159,40.85634221399326,-74.00338526331933
2025-03-10 09:00:00,tram,ST36,Station_34,MANHATTAN,omny,Student,3711,10,40.598140925666485,-74.07690713630994
2025-03-22 09:00:00,tram,ST19,Station_15,MANHATTAN,metrocard,Senior,236,174,40.80154602953477,-73.75141263144938
2025-03-3 09:00:00,bus,ST40,Station_47,MANHATTAN,metrocard,Full Fare,2048,177,40.63102086607205,-73.88132589796028
2025-03-1 09:00:00,bus,ST93,Station_48,MANHATTAN,omny,Full Fare,2707,176,40.698281500092754,-73.72674910623668
2025-03-7 09:00:00,bus,ST17,Station_71,MANHATTAN,omny,Full Fare,4500,194,40.58172655335959,-73.89687797441648
2025-03-21 09:00:00,subway,ST62,Station_17,MANHATTAN,omny,Full Fare,350,130,40.72427131797558,-73.84862941735416
2025-03-26 09:00:00,subway,ST54,Station_28,MANHATTAN,omny,Full Fare,604,85,40.83733046711515,-73.90596213600818
2025-03-19 09:00:00,bus,ST71,Station_78,MANHATTAN,omny,Senior,758,193,40.661827462561604,-73.90626222948339
2025-03-11 09:00:00,subway,ST46,Station_30,MANHATTAN,omny,Student,2582,127,40.58138909699904,-74.07321055518989
2025-03-22 09:00:00,bus,ST76,Station_57,MANHATTAN,metrocard,Senior,831,115,40.759327202980835,-74.07035783097005
2025-03-2 09:00:00,subway,ST45,Station_79,MANHATTAN,metrocard,Full Fare,734,66,40.5880445303619,-73.95979178628554
2025-03-8 09:00:00,tram,ST55,Station_62,MANHATTAN,metrocard,Senior,2990,121,40.63997797581185,-73.72828463909518
2025-03-11 09:00:00,bus,ST62,Station_49,MANHATTAN,omny,Senior,1605,60,40.54147143229371,-74.0805369345353
2025-03-4 09:00:00,subway,ST58,Station_45,MANHATTAN,metrocard,Senior,1603,57,40.80340075236656,-74.09414869644893
2025-03-19 09:00:00,subway,ST59,Station_71,MANHATTAN,metrocard,Full Fare,3042,133,40.79999111938083,-73.73670860451988
2025-03-23 09:00:00,tram,ST3,Station_21,MANHATTAN,metrocard,Student,903,61,40.56259068640144,-73.91043151195356
2025-03-13 09:00:00,tram,ST54,Station_16,MANHATTAN,metrocard,Senior,1054,129,40.66994033714723,-73.73686459444659
2025-03-12 09:00:00,tram,ST79,Station_80,MANHATTAN,omny,Student,2661,177,40.653119505774555,-73.77126762136585
2025-03-18 09:00:00,bus,ST96,Station_62,MANHATTAN,metrocard,Full Fare,4434,194,40.875627391780114,-73.84545028738665
2025-03-1 09:00:00,bus,ST45,Station_96,MANHATTAN,metrocard,Full Fare,1022,99,40.82950695831965,-74.07474388282904
2025-03-21 09:00:00,tram,ST79,Station_4,MANHATTAN,metrocard,Senior,3034,69,40.814683336282926,-73.79053497404173
2025-03-20 09:00:00,subway,ST28,Station_8,MANHATTAN,omny,Full Fare,2681,69,40.66609638893362,-73.74461435603084
2025-03-15 09:00:00,subway,ST60,Station_46,MANHATTAN,metrocard,Student,2203,109,40.85524727557361,-73.96988375265529
2025-03-7 09:00:00,subway,ST18,Station_2,MANHATTAN,metrocard,Senior,1305,124,40.52690236558695,-74.06203282527133
2025-03-20 09:00:00,tram,ST61,Station_31,MANHATTAN,omny,Full Fare,2605,194,40.89905131896086,-74.00340140589725
2025-03-15 09:00:00,subway,ST13,Station_35,MANHATTAN,metrocard,Senior,3870,148,40.81349530043009,-73.87352772350997
2025-03-16 09:00:00,subway,ST35,Station_86,MANHATTAN,metrocard,Senior,2609,151,40.749497233945604,-73.79507895019961
2025-03-23 09:00:00,tram,ST58,Station_99,MANHATTAN,omny,Full Fare,3296,137,40.656237443032715,-74.0722686678449
2025-03-19 09:00:00,tram,ST66,Station_74,MANHATTAN,omny,Senior,2358,86,40.87127283924558,-73.72834419199381
2025-03-23 09:00:00,subway,ST63,Station_59,MANHATTAN,omny,Senior,2927,49,40.759803571882976,-73.778234376129
2025-03-20 09:00:00,bus,ST25,Station_14,MANHATTAN,omny,Senior,3061,154,40.771012645553476,-73.95075095263104
2025-03-23 09:00:00,tram,ST21,Station_44,MANHATTAN,omny,Senior,1548,58,40.77885432235672,-73.84054441729248
2025-03-10 09:00:00,bus,ST83,Station_65,MANHATTAN,metrocard,Senior,1778,103,40.782055658228224,-73.91793120330654
2025-03-15 09:00:00,subway,ST93,Station_46,MANHATTAN,metrocard,Student,3575,177,40.81164103455831,-73.85612102993895
2025-03-11 09:00:00,tram,ST12,Station_40,MANHATTAN,metrocard,Student,2790,155,40.69539825306396,-73.93924512004371
2025-03-13 09:00:00,bus,ST37,Station_49,MANHATTAN,metrocard,Student,3975,181,40.73327632171084,-73.86286392779675
2025-03-8 09:00:00,tram,ST22,Station_20,MANHATTAN,metrocard,Full Fare,4491,157,40.86626889290466,-73.85347420310684
2025-03-23 09:00:00,bus,ST62,Station_7,MANHATTAN,metrocard,Full Fare,1054,183,40.57866143398118,-73.80502956569173
2025-03-24 09:00:00,tram,ST73,Station_35,MANHATTAN,omny,Full Fare,1357,118,40.74759662587943,-73.72369068012421
2025-03-21 09:00:00,bus,ST20,Station_53,MANHATTAN,omny,Full Fare,3956,63,40.856757241302624,-73.97757941459088
2025-03-14 09:00:00,tram,ST98,Station_50,MANHATTAN,omny,Student,862,19,40.522089008297215,-73.7230466183991
2025-03-20 09:00:00,tram,ST84,Station_3,MANHATTAN,omny,Student,2140,39,40.545772607444945,-74.09651754117498
2025-03-23 09:00:00,tram,ST64,Station_8,MANHATTAN,omny,Student,1183,137,40.6025852244067,-73.95787210061044
2025-03-13 09:00:00,subway,ST26,Station_86,MANHATTAN,metrocard,Senior,4361,126,40.894691640600335,-73.99145361458439
2025-03-22 09:00:00,bus,ST31,Station_11,MANHATTAN,metrocard,Student,2243,189,40.5548593952611,-73.86772036617829
2025-03-8 09:00:00,bus,ST24,Station_99,MANHATTAN,metrocard,Student,3316,64,40.68383362288545,-73.97741461278287
2025-03-25 09:00:00,tram,ST53,Station_56,MANHATTAN,metrocard,Full Fare,2937,140,40.638824947399755,-73.88110499183175
2025-03-12 09:00:00,subway,ST15,Station_15,MANHATTAN,omny,Senior,1626,166,40.72502208050922,-73.7939358684733
2025-03-8 09:00:00,bus,ST91,Station_85,MANHATTAN,metrocard,Full Fare,546,75,40.69327234532547,-73.76470783156728
2025-03-7 09:00:00,subway,ST99,Station_48,MANHATTAN,metrocard,Senior,1930,195,40.66645814705624,-73.89445970616936
2025-03-8 09:00:00,subway,ST81,Station_6,MANHATTAN,omny,Full Fare,1981,13,40.757898099430726,-74.00806930968095
2025-03-7 09:00:00,subway,ST77,Station_32,MANHATTAN,omny,Student,3362,165,40.84188138003728,-74.03387908554481
2025-03-3 09:00:00,tram,ST98,Station_80,MANHATTAN,metrocard,Full Fare,2394,71,40.648467806407815,-73.78574275858836
2025-03-3 09:00:00,bus,ST3,Station_59,MANHATTAN,metrocard,Full Fare,926,30,40.729289277779834,-73.9649402792003
2025-03-20 09:00:00,subway,ST41,Station_31,MANHATTAN,metrocard,Full Fare,2909,83,40.59986758109609,-73.99470106139279
2025-03-13 09:00:00,subway,ST42,Station_49,MANHATTAN,metrocard,Full Fare,436,181,40.60614804464079,-73.87826501026386
2025-03-13 09:00:00,subway,ST24,Station_58,MANHATTAN,metrocard,Student,4304,22,40.616584365397514,-74.01698362551771
2025-03-26 09:00:00,tram,ST59,Station_13,MANHATTAN,omny,Full Fare,1620,155,40.80423025698211,-74.03820311839803
2025-03-2 09:00:00,bus,ST82,Station_17,MANHATTAN,metrocard,Senior,4208,95,40.650322006338435,-73.81675126603974
2025-03-18 09:00:00,subway,ST43,Station_85,MANHATTAN,metrocard,Full Fare,1747,54,40.758640177579466,-74.00930352623722
2025-03-15 09:00:00,subway,ST52,Station_74,MANHATTAN,metrocard,Senior,4760,127,40.51396462106249,-73.87953601523346
2025-03-20 09:00:00,subway,ST54,Station_1,MANHATTAN,metrocard,Senior,3891,8,40.63440282359604,-73.91372698329509
2025-03-13 09:00:00,bus,ST57,Station_8,MANHATTAN,metrocard,Senior,1444,106,40.82057831048918,-73.94316256923817
2025-03-11 09:00:00,tram,ST43,Station_95,MANHATTAN,omny,Full Fare,2563,84,40.83402637818201,-73.72905792776548
2025-03-22 09:00:00,bus,ST37,Station_64,MANHATTAN,omny,Student,1356,176,40.5937702400046,-73.9619665017947
2025-03-17 09:00:00,subway,ST66,Station_63,MANHATTAN,metrocard,Senior,970,155,40.73891696814139,-73.83864660060853
2025-03-24 09:00:00,bus,ST28,Station_66,MANHATTAN,metrocard,Senior,4488,114,40.702532123741705,-73.95983469999592
2025-03-17 09:00:00,tram,ST36,Station_58,MANHATTAN,omny,Student,3459,104,40.638754390545756,-73.9257420838174
2025-03-19 09:00:00,bus,ST99,Station_56,MANHATTAN,omny,Full Fare,2061,47,40.833828716102246,-73.725806194589
2025-03-8 09:00:00,bus,ST4,Station_38,MANHATTAN,metrocard,Senior,4332,110,40.565116395682494,-73.86191486634925
2025-03-24 09:00:00,tram,ST14,Station_25,MANHATTAN,omny,Student,1373,151,40.68838410097389,-73.8352345469452
2025-03-26 09:00:00,bus,ST83,Station_67,MANHATTAN,metrocard,Full Fare,2077,26,40.52224220867218,-74.09724881511214
2025-03-12 09:00:00,subway,ST53,Station_44,MANHATTAN,metrocard,Senior,2498,177,40.85822513925273,-73.73632989437857
2025-03-23 09:00:00,tram,ST1,Station_89,MANHATTAN,metrocard,Student,4070,121,40.741518796771636,-73.75474578490571
2025-03-20 09:00:00,bus,ST85,Station_62,MANHATTAN,omny,Full Fare,2441,142,40.87995986729843,-74.0451642167685
2025-03-15 09:00:00,bus,ST25,Station_21,MANHATTAN,metrocard,Full Fare,3037,132,40.64205265910152,-74.08190032439244
2025-03-12 09:00:00,tram,ST87,Station_68,MANHATTAN,omny,Student,4856,103,40.76281219929364,-73.7406454133664
2025-03-18 09:00:00,bus,ST89,Station_52,MANHATTAN,omny,Senior,4398,60,40.81199533076422,-74.06050511724693
2025-03-21 09:00:00,tram,ST37,Station_56,MANHATTAN,omny,Full Fare,4032,196,40.52689367203622,-73.86206104819924
2025-03-1 09:00:00,tram,ST30,Station_11,MANHATTAN,metrocard,Senior,1725,122,40.799264330555076,-73.87549772877003
2025-03-22 09:00:00,bus,ST94,Station_73,MANHATTAN,omny,Senior,1819,161,40.52013981078774,-74.07889389685616
2025-03-12 09:00:00,subway,ST55,Station_22,MANHATTAN,metrocard,Full Fare,2258,128,40.601143247300044,-73.86894729826223
2025-03-22 09:00:00,bus,ST21,Station_79,MANHATTAN,omny,Student,777,98,40.640327643734004,-73.95497608137636
2025-03-15 09:00:00,subway,ST17,Station_90,MANHATTAN,omny,Full Fare,265,80,40.64333386266867,-73.73484302210537
2025-03-3 09:00:00,bus,ST14,Station_72,MANHATTAN,omny,Senior,3680,26,40.81260225909687,-73.98969703822348
2025-03-24 09:00:00,tram,ST60,Station_6,MANHATTAN,omny,Student,506,161,40.5130636243138,-73.9097615232712
2025-03-20 09:00:00,bus,ST70,Station_59,MANHATTAN,metrocard,Student,1511,16,40.871240734203916,-73.76205506900415
2025-03-7 09:00:00,tram,ST15,Station_19,MANHATTAN,omny,Senior,1103,162,40.53072121932577,-73.95813351800597
2025-03-4 09:00:00,tram,ST32,Station_48,MANHATTAN,metrocard,Full Fare,4340,70,40.602134549505294,-74.05765027271474
2025-03-4 09:00:00,subway,ST70,Station_58,MANHATTAN,metrocard,Student,2056,111,40.58678249834555,-73.98479786163038
2025-03-8 09:00:00,tram,ST80,Station_92,MANHATTAN,metrocard,Student,4624,89,40.56728146230661,-73.74826791372861
2025-03-3 09:00:00,bus,ST8,Station_24,MANHATTAN,omny,Senior,2306,44,40.834599396247214,-74.07991422732381
2025-03-12 09:00:00,tram,ST57,Station_80,MANHATTAN,omny,Student,1581,145,40.51722096108627,-73.78761445454222
2025-03-7 09:00:00,bus,ST43,Station_45,MANHATTAN,omny,Full Fare,2497,133,40.877269929184514,-74.0051422136089
2025-03-12 09:00:00,subway,ST23,Station_6,MANHATTAN,metrocard,Student,3317,14,40.69360822900376,-73.89436182297949
2025-03-5 09:00:00,bus,ST84,Station_6,MANHATTAN,metrocard,Senior,4642,66,40.83139525355809,-73.81486160165562
2025-03-4 09:00:00,tram,ST68,Station_81,MANHATTAN,omny,Senior,2563,197,40.67622941120492,-74.04703815460141
2025-03-22 09:00:00,tram,ST11,Station_77,MANHATTAN,omny,Student,2223,86,40.683860327863826,-73.92760643923167
2025-03-27 09:00:00,subway,ST73,Station_23,MANHATTAN,metrocard,Senior,224,174,40.667939479074526,-73.90124179259998
2025-03-23 09:00:00,bus,ST25,Station_28,MANHATTAN,metrocard,Full Fare,2515,24,40.818884429031506,-73.81030698095522
2025-03-14 09:00:00,bus,ST94,Station_41,MANHATTAN,omny,Student,3526,115,40.63424930919116,-74.06927702357228
2025-03-11 09:00:00,tram,ST85,Station_21,MANHATTAN,metrocard,Full Fare,3050,191,40.61195706089857,-73.98891236505966
2025-03-25 09:00:00,bus,ST82,Station_54,MANHATTAN,omny,Senior,883,17,40.843182036366024,-73.80753706221803
2025-03-16 09:00:00,bus,ST57,Station_47,MANHATTAN,omny,Student,175,187,40.65907376577322,-73.71047983465715
2025-03-2 09:00:00,bus,ST59,Station_27,MANHATTAN,omny,Senior,2002,118,40.71994742511048,-74.0797707584703
2025-03-12 09:00:00,subway,ST43,Station_17,MANHATTAN,omny,Full Fare,564,119,40.60375536029728,-74.06496348103762
2025-03-26 09:00:00,bus,ST93,Station_47,MANHATTAN,metrocard,Full Fare,1025,150,40.58445037702322,-73.7990126649654
2025-03-13 09:00:00,subway,ST37,Station_29,MANHATTAN,omny,Senior,4423,174,40.711976234772095,-74.03545305664464
2025-03-10 09:00:00,subway,ST64,Station_37,MANHATTAN,omny,Senior,384,147,40.793562150800746,-73.96137649607338
2025-03-2 09:00:00,bus,ST96,Station_16,MANHATTAN,metrocard,Full Fare,1049,99,40.73393545267555,-73.96498701364646
2025-03-2 09:00:00,subway,ST43,Station_62,MANHATTAN,metrocard,Full Fare,2681,179,40.85827597770665,-73.98108511828747
2025-03-7 09:00:00,tram,ST19,Station_38,MANHATTAN,metrocard,Senior,3506,184,40.55644303760854,-73.88176715128317
2025-03-18 09:00:00,bus,ST5,Station_20,MANHATTAN,omny,Student,3848,21,40.76850833009165,-73.99174242320728
2025-03-2 09:00:00,subway,ST42,Station_9,MANHATTAN,metrocard,Senior,2282,67,40.890911973026576,-73.78247275843678
2025-03-3 09:00:00,subway,ST85,Station_61,MANHATTAN,omny,Senior,1730,180,40.80720217412528,-73.92625540074351
2025-03-10 09:00:00,bus,ST66,Station_60,MANHATTAN,metrocard,Full Fare,243,15,40.58061135120253,-73.72622678449862
2025-03-11 09:00:00,subway,ST11,Station_85,MANHATTAN,metrocard,Senior,4050,49,40.60143364679855,-73.911619976491
2025-03-11 09:00:00,subway,ST47,Station_92,MANHATTAN,omny,Student,1231,18,40.55038207855174,-73.70833937795976
2025-03-11 09:00:00,tram,ST67,Station_12,MANHATTAN,omny,Student,2942,112,40.87757131339058,-73.79366838430603
2025-03-2 09:00:00,bus,ST30,Station_84,MANHATTAN,metrocard,Full Fare,4973,187,40.87722475896279,-73.97047217003903
2025-03-24 09:00:00,subway,ST42,Station_47,MANHATTAN,omny,Student,1360,21,40.54880296543075,-73.81944668577613
2025-03-27 09:00:00,subway,ST80,Station_34,MANHATTAN,metrocard,Student,3772,65,40.664549828565036,-74.04944543103773
2025-03-26 09:00:00,subway,ST10,Station_96,MANHATTAN,omny,Student,4983,38,40.7525501304193,-73.92944065727934
2025-03-4 09:00:00,bus,ST27,Station_2,MANHATTAN,omny,Full Fare,626,11,40.73680673711562,-74.03363959025168
2025-03-7 09:00:00,subway,ST10,Station_78,MANHATTAN,omny,Student,1851,141,40.82008253907343,-73.75479638157312
2025-03-22 09:00:00,bus,ST36,Station_45,MANHATTAN,metrocard,Student,2786,79,40.89776610702355,-73.85780749978962
2025-03-1 09:00:00,subway,ST36,Station_20,MANHATTAN,metrocard,Student,294,150,40.50044483767847,-73.99121817624072
2025-03-27 09:00:00,subway,ST68,Station_21,MANHATTAN,metrocard,Senior,3914,197,40.773850477705984,-73.73891779582186
2025-03-23 09:00:00,bus,ST61,Station_71,MANHATTAN,metrocard,Senior,3572,168,40.6842679319334,-73.90041155323449
2025-03-5 09:00:00,subway,ST27,Station_87,MANHATTAN,metrocard,Senior,2353,78,40.85648002922544,-74.09454639043767
2025-03-3 09:00:00,subway,ST92,Station_83,MANHATTAN,metrocard,Student,2337,31,40.84046029417039,-73.71694734149096
2025-03-3 09:00:00,subway,ST73,Station_29,MANHATTAN,metrocard,Senior,3580,94,40.65199163158616,-73.85714588764657
2025-03-27 09:00:00,subway,ST72,Station_1,MANHATTAN,metrocard,Senior,4803,74,40.831889146528646,-73.70928225086897
2025-03-11 09:00:00,subway,ST54,Station_90,MANHATTAN,metrocard,Senior,3703,45,40.68552569989107,-73.97198907337504
2025-03-21 09:00:00,tram,ST1,Station_81,BROOKLYN,metrocard,Full Fare,951,69,40.736920548424834,-73.82213849087593
2025-03-1 09:00:00,tram,ST60,Station_35,BROOKLYN,omny,Senior,1744,19,40.80138884426384,-73.75085623137373
2025-03-22 09:00:00,tram,ST91,Station_45,BROOKLYN,omny,Full Fare,3612,85,40.623011918196184,-73.90317820424704
2025-03-13 09:00:00,bus,ST43,Station_83,BROOKLYN,metrocard,Student,957,114,40.69139642804287,-73.86577450848267
2025-03-9 09:00:00,tram,ST39,Station_51,BROOKLYN,metrocard,Senior,4162,182,40.5934963168147,-73.84489034326177
2025-03-27 09:00:00,tram,ST38,Station_98,BROOKLYN,omny,Senior,1571,133,40.60092477082787,-73.97689163788274
2025-03-10 09:00:00,subway,ST99,Station_72,BROOKLYN,omny,Student,2066,119,40.52985537243177,-73.736905826729
2025-03-4 09:00:00,subway,ST12,Station_26,BROOKLYN,metrocard,Student,3734,116,40.711885586443344,-73.80704462136097
2025-03-16 09:00:00,subway,ST13,Station_89,BROOKLYN,omny,Student,3737,184,40.88661900662083,-73.84875218750257
2025-03-17 09:00:00,tram,ST11,Station_92,BROOKLYN,metrocard,Full Fare,2576,22,40.62719302053613,-73.86810753354632
2025-03-25 09:00:00,bus,ST25,Station_54,BROOKLYN,omny,Senior,2929,77,40.524441867047855,-73.90027882159427
2025-03-3 09:00:00,bus,ST30,Station_93,BROOKLYN,omny,Senior,4817,178,40.50007461126827,-73.85440821749064
2025-03-21 09:00:00,bus,ST38,Station_64,BROOKLYN,omny,Full Fare,3690,21,40.55414217398931,-74.02094431176354
2025-03-10 09:00:00,bus,ST57,Station_7,BROOKLYN,metrocard,Full Fare,3477,51,40.618944612523386,-74.03498480501251
2025-03-2 09:00:00,subway,ST4,Station_43,BROOKLYN,metrocard,Student,1383,0,40.51678562937745,-73.95454185643221
2025-03-3 09:00:00,subway,ST24,Station_83,BROOKLYN,metrocard,Student,855,122,40.77135675420121,-73.86289162365192
2025-03-25 09:00:00,bus,ST28,Station_29,BROOKLYN,metrocard,Senior,658,186,40.64861860452795,-73.85423999702746
2025-03-7 09:00:00,bus,ST90,Station_48,BROOKLYN,omny,Full Fare,3815,29,40.53207470272485,-73.90926444890675
2025-03-12 09:00:00,bus,ST36,Station_18,BROOKLYN,metrocard,Full Fare,4450,198,40.77139646746023,-73.97076011933346
